exp,rep,t,s,vax_inf,unvax_inf,vaxd
1,1,0.005,100000,0,0,50122
1,1,0.01,100000,0,0,50122
1,1,0.015,100000,0,1,50122
1,1,0.02,100000,0,1,50122
1,1,0.025,100000,0,2,50122
1,1,0.03,100000,1,1,50122
1,1,0.035,100000,2,4,50122
1,1,0.04,100000,3,4,50122
1,1,0.045,100000,3,9,50122
1,1,0.05,100000,6,11,50122
1,1,0.055,99999,8,9,50122
1,1,0.06,100000,7,14,50122
1,1,0.065,100000,4,18,50122
1,1,0.07,100000,7,20,50122
1,1,0.075,100000,12,24,50122
1,1,0.08,99999,17,29,50122
1,1,0.085,100000,10,45,50122
1,1,0.09,99999,12,37,50122
1,1,0.095,100000,15,32,50122
1,1,0.1,100000,13,46,50122
1,1,0.105,100000,17,44,50122
1,1,0.11,100000,22,50,50122
1,1,0.115,100000,21,48,50122
1,1,0.12,100000,19,67,50122
1,1,0.125,100000,23,67,50122
1,1,0.13,100000,23,68,50122
1,1,0.135,99999,36,85,50122
1,1,0.14,100000,30,87,50122
1,1,0.145,100000,36,95,50122
1,1,0.15,100000,44,77,50122
1,1,0.155,100000,40,98,50122
1,1,0.16,100000,42,106,50122
1,1,0.165,100000,65,117,50122
1,1,0.17,100000,54,106,50122
1,1,0.175,100000,53,122,50122
1,1,0.18,99999,53,140,50122
1,1,0.185,100000,57,137,50122
1,1,0.19,99999,49,144,50122
1,1,0.195,99999,58,152,50122
1,1,0.2,99998,69,141,50122
1,1,0.205,99999,63,159,50122
1,1,0.21,100000,64,154,50122
1,1,0.215,100000,81,180,50122
1,1,0.22,99999,68,165,50122
1,1,0.225,100000,87,168,50122
1,1,0.23,100000,85,193,50122
1,1,0.235,100000,90,185,50122
1,1,0.24,99999,94,187,50122
1,1,0.245,100000,98,212,50122
1,1,0.25,100000,96,193,50122
1,1,0.255,99998,94,235,50122
1,1,0.26,99998,101,230,50122
1,1,0.265,100000,86,245,50122
1,1,0.27,99999,99,222,50122
1,1,0.275,100000,117,252,50122
1,1,0.28,99999,101,238,50122
1,1,0.285,100000,110,234,50122
1,1,0.29,100000,95,228,50122
1,1,0.295,99999,104,249,50122
1,1,0.3,99998,115,243,50122
1,1,0.305,99999,119,221,50122
1,1,0.31,100000,141,265,50122
1,1,0.315,100000,140,232,50122
1,1,0.32,100000,122,281,50122
1,1,0.325,99999,136,257,50122
1,1,0.33,100000,137,266,50122
1,1,0.335,100000,134,296,50122
1,1,0.34,100000,139,262,50122
1,1,0.345,100000,143,269,50122
1,1,0.35,99999,149,254,50122
1,1,0.355,100000,147,260,50122
1,1,0.36,99999,151,263,50122
1,1,0.365,99998,148,256,50122
1,1,0.37,100000,153,288,50122
1,1,0.375,99998,145,277,50122
1,1,0.38,99998,146,258,50122
1,1,0.385,100000,146,285,50122
1,1,0.39,99999,158,255,50122
1,1,0.395,100000,150,293,50122
1,1,0.4,99998,150,269,50122
1,1,0.405,99999,169,273,50122
1,1,0.41,100000,157,238,50122
1,1,0.415,99999,156,259,50122
1,1,0.42,99995,164,270,50122
1,1,0.425,99999,166,271,50122
1,1,0.43,99997,162,254,50122
1,1,0.435,100000,162,298,50122
1,1,0.44,99999,164,250,50122
1,1,0.445,99999,183,252,50122
1,1,0.45,99997,160,256,50122
1,1,0.455,99999,177,241,50122
1,1,0.46,99999,162,268,50122
1,1,0.465,99999,167,233,50122
1,1,0.47,99999,182,262,50122
1,1,0.475,99998,154,262,50122
1,1,0.48,100000,171,267,50122
1,1,0.485,100000,168,260,50122
1,1,0.49,99999,154,259,50122
1,1,0.495,100000,148,224,50122
1,1,0.5,100000,142,228,50122
1,1,0.505,99998,175,238,50122
1,1,0.51,100000,175,223,50122
1,1,0.515,100000,159,224,50122
1,1,0.52,100000,147,228,50122
1,1,0.525,99999,162,228,50122
1,1,0.53,99999,137,225,50122
1,1,0.535,99997,145,213,50122
1,1,0.54,99999,149,212,50122
1,1,0.545,99999,162,202,50122
1,1,0.55,100000,174,205,50122
1,1,0.555,99999,153,209,50122
1,1,0.56,99999,170,201,50122
1,1,0.565,99999,149,170,50122
1,1,0.57,100000,133,193,50122
1,1,0.575,99999,179,180,50122
1,1,0.58,100000,145,222,50122
1,1,0.585,100000,154,163,50122
1,1,0.59,100000,132,181,50122
1,1,0.595,99998,130,172,50122
1,1,0.6,99999,135,163,50122
1,1,0.605,100000,134,160,50122
1,1,0.61,100000,152,162,50122
1,1,0.615,99997,143,163,50122
1,1,0.62,99999,131,145,50122
1,1,0.625,100000,145,162,50122
1,1,0.63,100000,146,171,50122
1,1,0.635,99998,124,144,50122
1,1,0.64,99999,124,152,50122
1,1,0.645,99998,121,150,50122
1,1,0.65,99999,114,149,50122
1,1,0.655,100000,103,122,50122
1,1,0.66,99999,111,134,50122
1,1,0.665,99999,94,123,50122
1,1,0.67,99999,93,113,50122
1,1,0.675,100000,113,144,50122
1,1,0.68,100000,114,124,50122
1,1,0.685,100000,117,87,50122
1,1,0.69,99999,85,100,50122
1,1,0.695,99998,88,152,50122
1,1,0.7,100000,78,102,50122
1,1,0.705,100000,90,119,50122
1,1,0.71,100000,91,104,50122
1,1,0.715,100000,75,103,50122
1,1,0.72,100000,76,107,50122
1,1,0.725,100000,93,96,50122
1,1,0.73,100000,81,100,50122
1,1,0.735,99998,72,93,50122
1,1,0.74,100000,79,84,50122
1,1,0.745,100000,89,82,50122
1,1,0.75,99999,72,77,50122
1,1,0.755,99999,66,96,50122
1,1,0.76,99998,68,72,50122
1,1,0.765,100000,60,82,50122
1,1,0.77,100000,68,80,50122
1,1,0.775,100000,58,62,50122
1,1,0.78,100000,53,63,50122
1,1,0.785,100000,60,52,50122
1,1,0.79,100000,52,53,50122
1,1,0.795,100000,48,55,50122
1,1,0.8,100000,49,62,50122
1,1,0.805,100000,56,49,50122
1,1,0.81,100000,36,58,50122
1,1,0.815,100000,46,58,50122
1,1,0.82,100000,32,43,50122
1,1,0.825,100000,49,39,50122
1,1,0.83,100000,36,48,50122
1,1,0.835,100000,35,32,50122
1,1,0.84,100000,37,36,50122
1,1,0.845,100000,35,45,50122
1,1,0.85,100000,25,31,50122
1,1,0.855,100000,27,25,50122
1,1,0.86,100000,29,31,50122
1,1,0.865,100000,26,20,50122
1,1,0.87,100000,31,23,50122
1,1,0.875,100000,27,25,50122
1,1,0.88,100000,25,19,50122
1,1,0.885,100000,29,15,50122
1,1,0.89,99999,19,22,50122
1,1,0.895,100000,19,21,50122
1,1,0.9,99999,13,13,50122
1,1,0.905,100000,9,15,50122
1,1,0.91,100000,11,14,50122
1,1,0.915,100000,6,10,50122
1,1,0.92,100000,12,11,50122
1,1,0.925,100000,5,11,50122
1,1,0.93,100000,9,5,50122
1,1,0.935,100000,6,5,50122
1,1,0.94,100000,5,9,50122
1,1,0.945,100000,3,8,50122
1,1,0.95,100000,3,4,50122
1,1,0.955,100000,3,7,50122
1,1,0.96,100000,1,3,50122
1,1,0.965,100000,0,5,50122
1,1,0.97,100000,2,0,50122
1,1,0.975,100000,3,1,50122
1,1,0.98,100000,0,1,50122
1,1,0.985,100000,0,1,50122
1,1,0.99,100000,1,0,50122
1,1,0.995,100000,0,1,50122
1,1,1.0,100000,0,0,50122
1,1,1.005,100000,0,0,50157
1,1,1.01,100000,0,0,50157
1,1,1.015,100000,0,0,50157
1,1,1.02,100000,2,1,50157
1,1,1.025,100000,0,0,50157
1,1,1.03,100000,2,1,50157
1,1,1.035,100000,0,0,50157
1,1,1.04,100000,1,4,50157
1,1,1.045,100000,1,2,50157
1,1,1.05,100000,4,3,50157
1,1,1.055,100000,1,5,50157
1,1,1.06,100000,2,5,50157
1,1,1.065,99999,7,3,50157
1,1,1.07,100000,5,8,50157
1,1,1.075,100000,6,14,50157
1,1,1.08,100000,4,15,50157
1,1,1.085,100000,5,12,50157
1,1,1.09,100000,11,7,50157
1,1,1.095,100000,9,16,50157
1,1,1.1,100000,8,12,50157
1,1,1.105,100000,11,21,50157
1,1,1.11,100000,14,20,50157
1,1,1.115,100000,11,18,50157
1,1,1.12,100000,15,26,50157
1,1,1.125,100000,18,33,50157
1,1,1.13,100000,15,37,50157
1,1,1.135,100000,21,34,50157
1,1,1.14,100000,20,28,50157
1,1,1.145,100000,15,24,50157
1,1,1.15,100000,20,37,50157
1,1,1.155,100000,22,39,50157
1,1,1.16,100000,37,41,50157
1,1,1.165,99999,25,32,50157
1,1,1.17,100000,28,49,50157
1,1,1.175,100000,36,54,50157
1,1,1.18,99999,37,55,50157
1,1,1.185,100000,27,61,50157
1,1,1.19,100000,35,52,50157
1,1,1.195,100000,45,45,50157
1,1,1.2,100000,42,67,50157
1,1,1.205,99999,49,77,50157
1,1,1.21,99999,46,70,50157
1,1,1.215,100000,58,85,50157
1,1,1.22,99999,59,90,50157
1,1,1.225,100000,51,70,50157
1,1,1.23,100000,53,70,50157
1,1,1.235,100000,49,80,50157
1,1,1.24,99999,56,76,50157
1,1,1.245,99999,59,83,50157
1,1,1.25,100000,61,88,50157
1,1,1.255,100000,54,95,50157
1,1,1.26,100000,71,94,50157
1,1,1.265,100000,74,115,50157
1,1,1.27,99998,89,96,50157
1,1,1.275,100000,86,98,50157
1,1,1.28,99999,49,114,50157
1,1,1.285,99999,77,111,50157
1,1,1.29,100000,82,105,50157
1,1,1.295,100000,75,102,50157
1,1,1.3,99998,85,107,50157
1,1,1.305,100000,76,99,50157
1,1,1.31,99999,93,122,50157
1,1,1.315,100000,91,129,50157
1,1,1.32,100000,89,132,50157
1,1,1.325,99999,86,142,50157
1,1,1.33,100000,90,132,50157
1,1,1.335,99999,91,153,50157
1,1,1.34,100000,80,146,50157
1,1,1.345,99999,90,124,50157
1,1,1.35,100000,90,110,50157
1,1,1.355,100000,96,135,50157
1,1,1.36,100000,101,121,50157
1,1,1.365,99999,79,136,50157
1,1,1.37,99999,116,149,50157
1,1,1.375,100000,125,128,50157
1,1,1.38,99999,99,148,50157
1,1,1.385,99999,106,144,50157
1,1,1.39,100000,101,135,50157
1,1,1.395,100000,94,139,50157
1,1,1.4,100000,105,119,50157
1,1,1.405,100000,109,160,50157
1,1,1.41,99998,116,158,50157
1,1,1.415,100000,104,166,50157
1,1,1.42,99998,122,151,50157
1,1,1.425,100000,114,146,50157
1,1,1.43,99999,93,169,50157
1,1,1.435,99999,102,159,50157
1,1,1.44,100000,118,163,50157
1,1,1.445,100000,105,159,50157
1,1,1.45,99999,105,144,50157
1,1,1.455,99999,121,152,50157
1,1,1.46,100000,100,161,50157
1,1,1.465,100000,115,157,50157
1,1,1.47,100000,124,144,50157
1,1,1.475,100000,113,147,50157
1,1,1.48,100000,113,133,50157
1,1,1.485,99999,135,153,50157
1,1,1.49,100000,112,146,50157
1,1,1.495,100000,121,156,50157
1,1,1.5,100000,118,146,50157
1,1,1.505,99999,101,153,50157
1,1,1.51,99999,112,138,50157
1,1,1.515,99999,104,145,50157
1,1,1.52,99999,101,157,50157
1,1,1.525,99998,103,130,50157
1,1,1.53,99999,116,166,50157
1,1,1.535,99998,110,141,50157
1,1,1.54,100000,105,139,50157
1,1,1.545,100000,114,141,50157
1,1,1.55,100000,114,148,50157
1,1,1.555,100000,105,139,50157
1,1,1.56,99999,106,121,50157
1,1,1.565,99999,97,156,50157
1,1,1.57,100000,93,128,50157
1,1,1.575,99999,93,118,50157
1,1,1.58,100000,101,133,50157
1,1,1.585,100000,92,142,50157
1,1,1.59,100000,92,131,50157
1,1,1.595,100000,100,138,50157
1,1,1.6,100000,83,129,50157
1,1,1.605,100000,77,137,50157
1,1,1.61,100000,119,134,50157
1,1,1.615,100000,86,117,50157
1,1,1.62,100000,87,99,50157
1,1,1.625,100000,87,119,50157
1,1,1.63,100000,71,125,50157
1,1,1.635,100000,77,113,50157
1,1,1.64,99997,95,106,50157
1,1,1.645,100000,92,112,50157
1,1,1.65,100000,83,113,50157
1,1,1.655,99999,61,105,50157
1,1,1.66,100000,76,97,50157
1,1,1.665,99999,96,109,50157
1,1,1.67,100000,82,90,50157
1,1,1.675,99998,64,104,50157
1,1,1.68,100000,65,99,50157
1,1,1.685,100000,80,84,50157
1,1,1.69,100000,67,107,50157
1,1,1.695,99999,65,87,50157
1,1,1.7,100000,59,68,50157
1,1,1.705,100000,64,102,50157
1,1,1.71,100000,64,83,50157
1,1,1.715,100000,57,72,50157
1,1,1.72,100000,56,76,50157
1,1,1.725,100000,62,75,50157
1,1,1.73,100000,55,71,50157
1,1,1.735,100000,56,70,50157
1,1,1.74,100000,55,66,50157
1,1,1.745,100000,45,63,50157
1,1,1.75,100000,54,63,50157
1,1,1.755,99999,51,53,50157
1,1,1.76,100000,46,49,50157
1,1,1.765,100000,40,59,50157
1,1,1.77,100000,49,59,50157
1,1,1.775,99999,34,50,50157
1,1,1.78,100000,39,47,50157
1,1,1.785,100000,37,53,50157
1,1,1.79,100000,33,52,50157
1,1,1.795,100000,24,49,50157
1,1,1.8,100000,22,58,50157
1,1,1.805,100000,36,51,50157
1,1,1.81,100000,37,38,50157
1,1,1.815,100000,20,41,50157
1,1,1.82,100000,26,35,50157
1,1,1.825,100000,25,37,50157
1,1,1.83,99999,25,39,50157
1,1,1.835,100000,21,44,50157
1,1,1.84,100000,25,25,50157
1,1,1.845,100000,24,22,50157
1,1,1.85,99999,22,29,50157
1,1,1.855,100000,11,21,50157
1,1,1.86,100000,16,20,50157
1,1,1.865,100000,16,32,50157
1,1,1.87,100000,22,18,50157
1,1,1.875,100000,16,20,50157
1,1,1.88,100000,12,25,50157
1,1,1.885,100000,7,15,50157
1,1,1.89,99999,10,17,50157
1,1,1.895,100000,13,15,50157
1,1,1.9,100000,13,14,50157
1,1,1.905,100000,6,12,50157
1,1,1.91,100000,6,8,50157
1,1,1.915,100000,8,13,50157
1,1,1.92,100000,4,7,50157
1,1,1.925,100000,5,11,50157
1,1,1.93,100000,4,4,50157
1,1,1.935,100000,8,6,50157
1,1,1.94,100000,5,4,50157
1,1,1.945,100000,2,2,50157
1,1,1.95,100000,1,3,50157
1,1,1.955,100000,0,4,50157
1,1,1.96,100000,2,3,50157
1,1,1.965,100000,1,1,50157
1,1,1.97,100000,1,0,50157
1,1,1.975,100000,1,1,50157
1,1,1.98,100000,0,0,50157
1,1,1.985,100000,0,1,50157
1,1,1.99,100000,0,0,50157
1,1,1.995,100000,0,0,50157
1,1,2.0,100000,0,0,50157
1,1,2.005,100000,0,0,50241
1,1,2.01,100000,0,0,50241
1,1,2.015,100000,0,0,50241
1,1,2.02,100000,0,0,50241
1,1,2.025,100000,0,0,50241
1,1,2.03,100000,0,2,50241
1,1,2.035,100000,1,3,50241
1,1,2.04,100000,0,2,50241
1,1,2.045,100000,2,2,50241
1,1,2.05,100000,2,5,50241
1,1,2.055,100000,4,3,50241
1,1,2.06,100000,4,6,50241
1,1,2.065,100000,2,9,50241
1,1,2.07,100000,3,8,50241
1,1,2.075,100000,3,8,50241
1,1,2.08,100000,2,12,50241
1,1,2.085,100000,7,12,50241
1,1,2.09,100000,11,12,50241
1,1,2.095,100000,4,10,50241
1,1,2.1,100000,17,10,50241
1,1,2.105,100000,7,16,50241
1,1,2.11,100000,10,14,50241
1,1,2.115,100000,6,22,50241
1,1,2.12,100000,13,25,50241
1,1,2.125,100000,11,22,50241
1,1,2.13,100000,18,22,50241
1,1,2.135,100000,21,25,50241
1,1,2.14,100000,18,24,50241
1,1,2.145,100000,18,31,50241
1,1,2.15,100000,24,34,50241
1,1,2.155,100000,14,29,50241
1,1,2.16,100000,21,28,50241
1,1,2.165,100000,20,30,50241
1,1,2.17,100000,22,42,50241
1,1,2.175,100000,27,42,50241
1,1,2.18,100000,25,47,50241
1,1,2.185,99999,26,44,50241
1,1,2.19,100000,33,57,50241
1,1,2.195,100000,31,51,50241
1,1,2.2,99999,35,41,50241
1,1,2.205,100000,48,68,50241
1,1,2.21,99999,36,55,50241
1,1,2.215,100000,50,64,50241
1,1,2.22,100000,46,74,50241
1,1,2.225,100000,32,59,50241
1,1,2.23,100000,38,62,50241
