exp,rep,t,s,vax_inf,unvax_inf,vaxd
1,1,0.005,100000,0,0,50122
1,1,0.01,100000,0,0,50122
1,1,0.015,100000,0,1,50122
1,1,0.02,100000,0,1,50122
1,1,0.025,100000,0,2,50122
1,1,0.03,100000,0,1,50122
1,1,0.035,100000,0,4,50122
1,1,0.04,100000,2,7,50122
1,1,0.045,100000,2,11,50122
1,1,0.05,100000,1,8,50122
1,1,0.055,100000,0,12,50122
1,1,0.06,100000,1,16,50122
1,1,0.065,100000,1,16,50122
1,1,0.07,100000,3,29,50122
1,1,0.075,100000,4,23,50122
1,1,0.08,100000,3,32,50122
1,1,0.085,100000,4,32,50122
1,1,0.09,100000,1,31,50122
1,1,0.095,100000,1,40,50122
1,1,0.1,100000,3,50,50122
1,1,0.105,100000,3,34,50122
1,1,0.11,100000,6,51,50122
1,1,0.115,99999,6,51,50122
1,1,0.12,99999,6,69,50122
1,1,0.125,100000,7,67,50122
1,1,0.13,100000,4,78,50122
1,1,0.135,100000,5,74,50122
1,1,0.14,100000,10,96,50122
1,1,0.145,99999,6,81,50122
1,1,0.15,100000,12,96,50122
1,1,0.155,99999,4,102,50122
1,1,0.16,100000,8,101,50122
1,1,0.165,99999,18,117,50122
1,1,0.17,100000,21,115,50122
1,1,0.175,100000,16,117,50122
1,1,0.18,100000,13,119,50122
1,1,0.185,100000,14,131,50122
1,1,0.19,100000,15,139,50122
1,1,0.195,99999,13,131,50122
1,1,0.2,100000,14,140,50122
1,1,0.205,99998,20,151,50122
1,1,0.21,100000,21,160,50122
1,1,0.215,100000,34,180,50122
1,1,0.22,100000,20,155,50122
1,1,0.225,100000,15,202,50122
1,1,0.23,100000,20,229,50122
1,1,0.235,100000,28,179,50122
1,1,0.24,100000,20,181,50122
1,1,0.245,100000,30,215,50122
1,1,0.25,99998,20,219,50122
1,1,0.255,100000,24,223,50122
1,1,0.26,99999,25,208,50122
1,1,0.265,99999,27,226,50122
1,1,0.27,100000,26,206,50122
1,1,0.275,100000,37,250,50122
1,1,0.28,100000,20,234,50122
1,1,0.285,100000,34,239,50122
1,1,0.29,100000,32,220,50122
1,1,0.295,100000,25,236,50122
1,1,0.3,100000,32,266,50122
1,1,0.305,99998,22,269,50122
1,1,0.31,99999,28,256,50122
1,1,0.315,100000,38,238,50122
1,1,0.32,100000,39,261,50122
1,1,0.325,100000,43,257,50122
1,1,0.33,99999,35,249,50122
1,1,0.335,99999,33,286,50122
1,1,0.34,99999,45,265,50122
1,1,0.345,99999,38,278,50122
1,1,0.35,99999,38,279,50122
1,1,0.355,99999,42,232,50122
1,1,0.36,100000,50,255,50122
1,1,0.365,99999,32,256,50122
1,1,0.37,99998,36,268,50122
1,1,0.375,99999,37,256,50122
1,1,0.38,99999,36,265,50122
1,1,0.385,100000,41,266,50122
1,1,0.39,100000,40,263,50122
1,1,0.395,99999,37,266,50122
1,1,0.4,100000,39,274,50122
1,1,0.405,100000,42,255,50122
1,1,0.41,99999,48,277,50122
1,1,0.415,100000,42,285,50122
1,1,0.42,100000,54,273,50122
1,1,0.425,100000,38,251,50122
1,1,0.43,99999,41,248,50122
1,1,0.435,100000,38,281,50122
1,1,0.44,99999,48,250,50122
1,1,0.445,100000,35,282,50122
1,1,0.45,100000,51,227,50122
1,1,0.455,99999,48,236,50122
1,1,0.46,99999,47,272,50122
1,1,0.465,100000,45,231,50122
1,1,0.47,100000,49,249,50122
1,1,0.475,99999,45,236,50122
1,1,0.48,99999,49,268,50122
1,1,0.485,99998,41,265,50122
1,1,0.49,100000,60,237,50122
1,1,0.495,100000,41,190,50122
1,1,0.5,99998,42,207,50122
1,1,0.505,99999,50,217,50122
1,1,0.51,99999,41,234,50122
1,1,0.515,99998,45,208,50122
1,1,0.52,99999,43,233,50122
1,1,0.525,99998,45,214,50122
1,1,0.53,99999,54,190,50122
1,1,0.535,99999,45,226,50122
1,1,0.54,100000,40,211,50122
1,1,0.545,100000,49,212,50122
1,1,0.55,100000,47,210,50122
1,1,0.555,100000,40,202,50122
1,1,0.56,100000,45,198,50122
1,1,0.565,100000,41,195,50122
1,1,0.57,100000,36,215,50122
1,1,0.575,100000,45,196,50122
1,1,0.58,99999,43,181,50122
1,1,0.585,99998,42,205,50122
1,1,0.59,100000,53,161,50122
1,1,0.595,100000,46,194,50122
1,1,0.6,99999,50,177,50122
1,1,0.605,99999,49,164,50122
1,1,0.61,99999,44,159,50122
1,1,0.615,99999,40,152,50122
1,1,0.62,99999,42,157,50122
1,1,0.625,99999,44,157,50122
1,1,0.63,100000,54,164,50122
1,1,0.635,100000,37,137,50122
1,1,0.64,99999,45,172,50122
1,1,0.645,100000,35,146,50122
1,1,0.65,100000,39,152,50122
1,1,0.655,100000,41,154,50122
1,1,0.66,100000,35,143,50122
1,1,0.665,99998,31,115,50122
1,1,0.67,100000,34,109,50122
1,1,0.675,100000,34,150,50122
1,1,0.68,99999,28,139,50122
1,1,0.685,99999,26,130,50122
1,1,0.69,99999,30,105,50122
1,1,0.695,100000,40,103,50122
1,1,0.7,100000,23,122,50122
1,1,0.705,100000,35,106,50122
1,1,0.71,100000,32,97,50122
1,1,0.715,100000,29,102,50122
1,1,0.72,100000,35,125,50122
1,1,0.725,99999,33,94,50122
1,1,0.73,100000,22,83,50122
1,1,0.735,100000,42,87,50122
1,1,0.74,99999,36,99,50122
1,1,0.745,100000,23,89,50122
1,1,0.75,100000,20,78,50122
1,1,0.755,100000,21,68,50122
1,1,0.76,100000,23,81,50122
1,1,0.765,100000,25,66,50122
1,1,0.77,100000,20,69,50122
1,1,0.775,100000,12,73,50122
1,1,0.78,99999,11,71,50122
1,1,0.785,100000,20,49,50122
1,1,0.79,100000,13,61,50122
1,1,0.795,100000,19,60,50122
1,1,0.8,100000,13,69,50122
1,1,0.805,100000,14,55,50122
1,1,0.81,100000,10,45,50122
1,1,0.815,100000,17,47,50122
1,1,0.82,99999,7,45,50122
1,1,0.825,100000,17,52,50122
1,1,0.83,100000,18,49,50122
1,1,0.835,100000,9,50,50122
1,1,0.84,100000,7,27,50122
1,1,0.845,99998,13,31,50122
1,1,0.85,100000,14,38,50122
1,1,0.855,99999,10,30,50122
1,1,0.86,100000,11,30,50122
1,1,0.865,100000,9,28,50122
1,1,0.87,100000,10,23,50122
1,1,0.875,100000,11,15,50122
1,1,0.88,100000,5,23,50122
1,1,0.885,100000,7,24,50122
1,1,0.89,100000,8,18,50122
1,1,0.895,100000,6,27,50122
1,1,0.9,100000,4,11,50122
1,1,0.905,100000,6,11,50122
1,1,0.91,100000,5,12,50122
1,1,0.915,100000,2,10,50122
1,1,0.92,100000,3,13,50122
1,1,0.925,100000,2,13,50122
1,1,0.93,100000,2,7,50122
1,1,0.935,100000,3,10,50122
1,1,0.94,100000,4,8,50122
1,1,0.945,100000,0,8,50122
1,1,0.95,100000,1,7,50122
1,1,0.955,100000,0,1,50122
1,1,0.96,100000,0,1,50122
1,1,0.965,100000,1,2,50122
1,1,0.97,100000,0,2,50122
1,1,0.975,100000,0,3,50122
1,1,0.98,100000,0,2,50122
1,1,0.985,100000,0,1,50122
1,1,0.99,100000,0,0,50122
1,1,0.995,100000,0,1,50122
1,1,1.0,100000,0,0,50122
1,1,1.005,100000,0,0,50072
1,1,1.01,100000,0,0,50072
1,1,1.015,100000,0,0,50072
1,1,1.02,100000,2,2,50072
1,1,1.025,100000,0,1,50072
1,1,1.03,100000,0,2,50072
1,1,1.035,100000,0,0,50072
1,1,1.04,100000,0,2,50072
1,1,1.045,100000,1,4,50072
1,1,1.05,100000,0,5,50072
1,1,1.055,100000,2,10,50072
1,1,1.06,100000,1,5,50072
1,1,1.065,100000,2,6,50072
1,1,1.07,100000,1,7,50072
1,1,1.075,100000,0,16,50072
1,1,1.08,100000,2,13,50072
1,1,1.085,100000,3,5,50072
1,1,1.09,100000,4,16,50072
1,1,1.095,100000,1,18,50072
1,1,1.1,100000,2,19,50072
1,1,1.105,100000,4,14,50072
1,1,1.11,100000,3,27,50072
1,1,1.115,100000,3,22,50072
1,1,1.12,100000,6,26,50072
1,1,1.125,100000,3,35,50072
1,1,1.13,100000,7,36,50072
1,1,1.135,100000,5,27,50072
1,1,1.14,99999,6,35,50072
1,1,1.145,99999,7,33,50072
1,1,1.15,100000,9,28,50072
1,1,1.155,100000,6,42,50072
1,1,1.16,100000,9,40,50072
1,1,1.165,100000,16,44,50072
1,1,1.17,100000,11,52,50072
1,1,1.175,100000,15,51,50072
1,1,1.18,100000,8,63,50072
1,1,1.185,99999,12,49,50072
1,1,1.19,100000,8,57,50072
1,1,1.195,100000,16,53,50072
1,1,1.2,100000,14,77,50072
1,1,1.205,100000,14,71,50072
1,1,1.21,100000,22,81,50072
1,1,1.215,100000,13,84,50072
1,1,1.22,99999,19,83,50072
1,1,1.225,100000,19,94,50072
1,1,1.23,99998,12,82,50072
1,1,1.235,100000,15,80,50072
1,1,1.24,99999,19,78,50072
1,1,1.245,100000,17,94,50072
1,1,1.25,99999,18,96,50072
1,1,1.255,100000,11,85,50072
1,1,1.26,100000,19,96,50072
1,1,1.265,100000,21,116,50072
1,1,1.27,100000,22,103,50072
1,1,1.275,99999,26,133,50072
1,1,1.28,99999,16,127,50072
1,1,1.285,100000,21,113,50072
1,1,1.29,100000,29,112,50072
1,1,1.295,100000,28,93,50072
1,1,1.3,100000,25,134,50072
1,1,1.305,100000,27,95,50072
1,1,1.31,100000,24,140,50072
1,1,1.315,99999,36,116,50072
1,1,1.32,99998,29,141,50072
1,1,1.325,100000,29,139,50072
1,1,1.33,100000,29,141,50072
1,1,1.335,100000,33,167,50072
1,1,1.34,100000,40,137,50072
1,1,1.345,99999,29,143,50072
1,1,1.35,100000,36,150,50072
1,1,1.355,100000,36,145,50072
1,1,1.36,99999,28,123,50072
1,1,1.365,99999,38,139,50072
1,1,1.37,100000,39,143,50072
1,1,1.375,100000,34,180,50072
1,1,1.38,100000,30,152,50072
1,1,1.385,100000,47,149,50072
1,1,1.39,100000,42,172,50072
1,1,1.395,100000,25,161,50072
1,1,1.4,100000,32,139,50072
1,1,1.405,100000,42,139,50072
1,1,1.41,99999,40,151,50072
1,1,1.415,100000,37,174,50072
1,1,1.42,100000,43,163,50072
1,1,1.425,99999,45,180,50072
1,1,1.43,99999,42,161,50072
1,1,1.435,99999,40,150,50072
1,1,1.44,99998,39,148,50072
1,1,1.445,100000,37,144,50072
1,1,1.45,99999,33,155,50072
1,1,1.455,99999,39,169,50072
1,1,1.46,100000,41,151,50072
1,1,1.465,99999,41,155,50072
1,1,1.47,100000,40,167,50072
1,1,1.475,99998,44,141,50072
1,1,1.48,100000,30,160,50072
1,1,1.485,100000,56,138,50072
1,1,1.49,99999,40,153,50072
1,1,1.495,99997,41,186,50072
1,1,1.5,99999,43,173,50072
1,1,1.505,99999,43,161,50072
1,1,1.51,100000,47,139,50072
1,1,1.515,100000,40,169,50072
1,1,1.52,100000,43,147,50072
1,1,1.525,100000,32,151,50072
1,1,1.53,100000,35,157,50072
1,1,1.535,100000,32,147,50072
1,1,1.54,99999,49,143,50072
1,1,1.545,100000,43,148,50072
1,1,1.55,100000,49,144,50072
1,1,1.555,100000,31,173,50072
1,1,1.56,100000,33,151,50072
1,1,1.565,99999,35,165,50072
1,1,1.57,100000,36,124,50072
1,1,1.575,100000,31,135,50072
1,1,1.58,99999,25,130,50072
1,1,1.585,100000,53,129,50072
1,1,1.59,100000,33,111,50072
1,1,1.595,100000,43,115,50072
1,1,1.6,99999,27,147,50072
1,1,1.605,100000,35,124,50072
1,1,1.61,99999,41,136,50072
1,1,1.615,100000,41,122,50072
1,1,1.62,100000,20,106,50072
1,1,1.625,100000,31,113,50072
1,1,1.63,99999,46,147,50072
1,1,1.635,100000,27,140,50072
1,1,1.64,100000,32,127,50072
1,1,1.645,100000,31,123,50072
1,1,1.65,100000,42,107,50072
1,1,1.655,100000,21,113,50072
1,1,1.66,100000,23,115,50072
1,1,1.665,100000,39,103,50072
1,1,1.67,100000,35,98,50072
1,1,1.675,99999,31,95,50072
1,1,1.68,100000,20,94,50072
1,1,1.685,100000,31,98,50072
1,1,1.69,99999,32,90,50072
1,1,1.695,100000,22,100,50072
1,1,1.7,100000,25,87,50072
1,1,1.705,99999,25,101,50072
1,1,1.71,100000,24,92,50072
1,1,1.715,99999,15,109,50072
1,1,1.72,100000,18,92,50072
1,1,1.725,100000,23,61,50072
1,1,1.73,100000,31,58,50072
1,1,1.735,99999,20,65,50072
1,1,1.74,100000,27,72,50072
1,1,1.745,100000,17,63,50072
1,1,1.75,100000,16,70,50072
1,1,1.755,100000,23,65,50072
1,1,1.76,100000,17,51,50072
1,1,1.765,100000,14,70,50072
1,1,1.77,100000,18,68,50072
1,1,1.775,100000,13,56,50072
1,1,1.78,99999,9,59,50072
1,1,1.785,100000,17,63,50072
1,1,1.79,100000,18,46,50072
1,1,1.795,100000,12,59,50072
1,1,1.8,100000,13,64,50072
1,1,1.805,100000,8,44,50072
1,1,1.81,100000,16,44,50072
1,1,1.815,100000,9,41,50072
1,1,1.82,100000,13,27,50072
1,1,1.825,100000,7,40,50072
1,1,1.83,100000,13,36,50072
1,1,1.835,100000,14,39,50072
1,1,1.84,100000,4,45,50072
1,1,1.845,99999,10,24,50072
1,1,1.85,100000,6,32,50072
1,1,1.855,100000,8,27,50072
1,1,1.86,100000,5,16,50072
1,1,1.865,100000,10,17,50072
1,1,1.87,100000,4,24,50072
1,1,1.875,100000,10,24,50072
1,1,1.88,100000,7,24,50072
1,1,1.885,100000,2,20,50072
1,1,1.89,100000,5,23,50072
1,1,1.895,100000,2,13,50072
1,1,1.9,100000,6,12,50072
1,1,1.905,100000,2,19,50072
1,1,1.91,100000,2,8,50072
1,1,1.915,100000,4,15,50072
1,1,1.92,100000,2,9,50072
1,1,1.925,100000,3,9,50072
1,1,1.93,100000,2,4,50072
1,1,1.935,100000,3,9,50072
1,1,1.94,99999,1,8,50072
1,1,1.945,100000,2,3,50072
1,1,1.95,100000,0,6,50072
1,1,1.955,100000,2,2,50072
1,1,1.96,100000,1,3,50072
1,1,1.965,100000,2,0,50072
1,1,1.97,100000,1,0,50072
1,1,1.975,100000,0,3,50072
1,1,1.98,100000,1,0,50072
1,1,1.985,100000,0,1,50072
1,1,1.99,100000,0,0,50072
1,1,1.995,100000,0,1,50072
1,1,2.0,100000,0,0,50072
1,1,2.005,100000,0,0,49978
1,1,2.01,100000,0,0,49978
1,1,2.015,100000,0,1,49978
1,1,2.02,100000,0,0,49978
1,1,2.025,100000,0,1,49978
1,1,2.03,100000,0,3,49978
1,1,2.035,100000,0,4,49978
1,1,2.04,100000,0,1,49978
1,1,2.045,100000,1,5,49978
1,1,2.05,100000,0,0,49978
1,1,2.055,100000,3,4,49978
1,1,2.06,100000,1,10,49978
1,1,2.065,100000,0,7,49978
1,1,2.07,100000,1,7,49978
1,1,2.075,100000,2,9,49978
1,1,2.08,100000,1,5,49978
1,1,2.085,100000,1,9,49978
1,1,2.09,100000,3,13,49978
1,1,2.095,100000,3,15,49978
1,1,2.1,100000,2,17,49978
1,1,2.105,100000,7,18,49978
1,1,2.11,100000,0,18,49978
1,1,2.115,100000,7,24,49978
1,1,2.12,100000,7,14,49978
1,1,2.125,100000,3,32,49978
1,1,2.13,100000,7,24,49978
1,1,2.135,100000,9,32,49978
1,1,2.14,100000,5,31,49978
1,1,2.145,100000,5,36,49978
1,1,2.15,100000,8,51,49978
1,1,2.155,100000,8,31,49978
1,1,2.16,100000,3,34,49978
1,1,2.165,100000,7,41,49978
1,1,2.17,100000,8,50,49978
1,1,2.175,100000,10,41,49978
1,1,2.18,100000,7,56,49978
1,1,2.185,100000,17,52,49978
1,1,2.19,100000,14,49,49978
1,1,2.195,100000,7,63,49978
1,1,2.2,100000,16,51,49978
1,1,2.205,99999,10,89,49978
1,1,2.21,100000,14,64,49978
1,1,2.215,100000,22,71,49978
1,1,2.22,100000,10,66,49978
1,1,2.225,100000,9,87,49978
1,1,2.23,99999,14,72,49978
