exp,rep,t,s,vax_inf,unvax_inf,vaxd
1,1,0.005,100000,0,0,50122
1,1,0.01,100000,1,0,50122
1,1,0.015,100000,1,0,50122
1,1,0.02,100000,1,1,50122
1,1,0.025,100000,0,5,50122
1,1,0.03,100000,1,1,50122
1,1,0.035,100000,3,5,50122
1,1,0.04,100000,5,9,50122
1,1,0.045,100000,11,7,50122
1,1,0.05,100000,6,10,50122
1,1,0.055,100000,9,18,50122
1,1,0.06,100000,9,13,50122
1,1,0.065,100000,10,13,50122
1,1,0.07,100000,17,17,50122
1,1,0.075,100000,17,24,50122
1,1,0.08,100000,21,31,50122
1,1,0.085,100000,19,43,50122
1,1,0.09,100000,23,39,50122
1,1,0.095,100000,27,31,50122
1,1,0.1,100000,25,47,50122
1,1,0.105,100000,31,43,50122
1,1,0.11,100000,41,57,50122
1,1,0.115,100000,41,58,50122
1,1,0.12,99999,48,51,50122
1,1,0.125,99999,41,65,50122
1,1,0.13,100000,53,59,50122
1,1,0.135,99999,53,89,50122
1,1,0.14,100000,69,95,50122
1,1,0.145,100000,67,91,50122
1,1,0.15,100000,63,95,50122
1,1,0.155,100000,70,101,50122
1,1,0.16,99998,68,110,50122
1,1,0.165,100000,102,121,50122
1,1,0.17,99999,77,121,50122
1,1,0.175,99999,87,134,50122
1,1,0.18,99999,97,126,50122
1,1,0.185,100000,106,121,50122
1,1,0.19,100000,88,165,50122
1,1,0.195,100000,109,127,50122
1,1,0.2,100000,112,144,50122
1,1,0.205,100000,105,167,50122
1,1,0.21,100000,116,172,50122
1,1,0.215,100000,140,180,50122
1,1,0.22,100000,121,158,50122
1,1,0.225,100000,143,186,50122
1,1,0.23,100000,149,170,50122
1,1,0.235,100000,131,191,50122
1,1,0.24,100000,149,206,50122
1,1,0.245,99999,140,231,50122
1,1,0.25,100000,147,199,50122
1,1,0.255,100000,175,210,50122
1,1,0.26,99999,171,237,50122
1,1,0.265,100000,168,204,50122
1,1,0.27,100000,184,198,50122
1,1,0.275,100000,224,223,50122
1,1,0.28,100000,192,248,50122
1,1,0.285,99999,196,220,50122
1,1,0.29,99998,185,222,50122
1,1,0.295,99998,170,264,50122
1,1,0.3,99999,191,258,50122
1,1,0.305,99999,195,254,50122
1,1,0.31,100000,216,296,50122
1,1,0.315,99999,210,231,50122
1,1,0.32,99999,220,267,50122
1,1,0.325,99999,209,256,50122
1,1,0.33,99999,228,308,50122
1,1,0.335,100000,216,260,50122
1,1,0.34,99997,247,255,50122
1,1,0.345,100000,237,284,50122
1,1,0.35,99999,210,277,50122
1,1,0.355,99999,244,254,50122
1,1,0.36,99999,237,278,50122
1,1,0.365,100000,245,244,50122
1,1,0.37,99996,262,282,50122
1,1,0.375,100000,237,280,50122
1,1,0.38,100000,219,250,50122
1,1,0.385,99998,258,263,50122
1,1,0.39,100000,260,285,50122
1,1,0.395,100000,236,278,50122
1,1,0.4,99997,239,269,50122
1,1,0.405,99998,241,260,50122
1,1,0.41,99999,268,254,50122
1,1,0.415,100000,245,241,50122
1,1,0.42,100000,248,268,50122
1,1,0.425,100000,269,288,50122
1,1,0.43,99999,217,251,50122
1,1,0.435,99999,255,256,50122
1,1,0.44,99999,248,256,50122
